"tip","mean","median","sd","CI_low","CI_high"
"69",-0.505990928021271,-0.488090666569338,0.808897580009807,-2.11388486560151,1.08604411174434
"257",-0.483179921773964,-0.455653604726407,0.823867057927752,-2.19236849669518,1.06090020049131
"513",-0.463732787230022,-0.450063513692043,0.818397296218697,-2.1296343743954,1.10225670180893
"422",-0.459195658095056,-0.43978610732112,0.856591315389432,-2.18627924017825,1.18649303880523
"471",-0.418300113901891,-0.433001765740289,1.21633757876143,-2.7997709421955,2.03725395692524
"401",-0.400869540393764,-0.378155907670697,0.668541025402197,-1.74886586076772,0.885945686426199
"270",-0.39436755581514,-0.401051366958952,1.44278917291535,-3.31899884332165,2.44093212981464
"485",-0.378732552165949,-0.363986828847178,0.862560012737703,-2.1133752243265,1.28800482234524
"38",-0.378472194870167,-0.365580097529901,0.862386060734626,-2.09915174470784,1.29512024242636
"103",-0.369670773883654,-0.357420932898517,0.735214789293501,-1.84809387673103,1.04972050129224
"248",-0.363635463528073,-0.369099652223653,1.06652059921692,-2.43439965231169,1.76967413215961
"149",-0.328510067076966,-0.317226272485829,0.773119277967183,-1.86324057994905,1.20411111101065
"429",-0.328348960307318,-0.34417414517063,1.4180479592671,-3.17215148694907,2.47394441462755
"222",-0.298434517704234,-0.284428052464354,0.670838946866298,-1.64474597074834,1.01963930427897
"151",-0.297541644414788,-0.277342017532804,0.7760327540604,-1.85178662644209,1.20543743860507
"339",-0.27468429802062,-0.266312627526221,0.774155759412172,-1.82818846225259,1.23844504346825
"455",-0.264029899051447,-0.254092943446384,0.798611693344726,-1.83469038438841,1.33090416773033
"459",-0.260683915586155,-0.247915492080667,0.566895860382521,-1.43379054057442,0.817090681379046
"463",-0.260282513616814,-0.248539985713005,0.565858837208018,-1.43900599477332,0.805635234427584
"528",-0.254858398945379,-0.239371562985956,0.588469248031254,-1.43995665813368,0.895336681936276
"295",-0.250813328347833,-0.239417071358658,0.570647661723287,-1.36842812480299,0.889387597648359
"481",-0.248474655730307,-0.235284381301185,0.589145083934777,-1.43210011726715,0.901590488780394
"28",-0.246549446158985,-0.227036301281806,0.709296200888441,-1.64891307329355,1.16710225805837
"445",-0.2455462531083,-0.237552780074706,0.781060573268325,-1.82738999218382,1.25695840484939
"417",-0.241586202022763,-0.231302478326768,0.818292351180685,-1.89098206702714,1.35790188570854
"402",-0.240935265144879,-0.232342943944911,0.81750878543222,-1.8653236833104,1.37570996622992
"373",-0.240561845462695,-0.235611552808321,0.818238530049293,-1.91262563866822,1.33755225018136
"332",-0.238556548891766,-0.233977647757807,0.818935790153769,-1.84925627007584,1.4049762528102
"140",-0.238009691185564,-0.231630391303961,0.516912797655699,-1.26979096119651,0.775929613845275
"502",-0.236431705099042,-0.230257118327968,0.516496219111821,-1.26091473345452,0.781011860068578
"389",-0.235454065950811,-0.226032662519679,0.799925857179376,-1.85205347054473,1.32168032092383
"79",-0.234976038445331,-0.220361628831958,0.591986419385479,-1.42750942746935,0.913187996023286
"123",-0.23370279447728,-0.227917957397927,0.519734499214968,-1.29112306053811,0.759785141367961
"18",-0.230693595937304,-0.224353884590626,0.519100408436643,-1.26960312783687,0.785977866404659
"52",-0.230556469614841,-0.225268490636575,0.821799094719751,-1.85169329833885,1.41456439993852
"503",-0.229595683046395,-0.223014201815848,0.515684982923886,-1.26163329386728,0.785030380048995
"494",-0.229108458877113,-0.220916116482737,0.821090066352133,-1.86434866548152,1.41283976965012
"341",-0.229028376493373,-0.220571558265423,0.517865702320715,-1.27199166472496,0.774422839680838
"44",-0.228241553784451,-0.220869524774347,0.520506016077311,-1.25180631491749,0.803215345165307
"243",-0.227925986950217,-0.213588518289551,0.665611225615986,-1.56524434554423,1.0824862588254
"472",-0.227008874749461,-0.216702421298711,0.822196920894256,-1.87611248348605,1.38247529961486
"478",-0.226873217722272,-0.219879889844567,0.518341015056366,-1.26207568170819,0.786125988267442
"498",-0.226552647100473,-0.213695345584998,0.819314173612021,-1.85554909351155,1.39531184030997
"1",-0.225666289738967,-0.227570357899654,1.13918162221217,-2.47705612340676,2.02009239697848
"302",-0.222807515028623,-0.21546376882608,0.825220860387926,-1.86297835491688,1.41893408102349
"204",-0.2212684066196,-0.215479281587431,0.527192092366649,-1.25036269171236,0.821897284036795
"64",-0.21789725960876,-0.207936502013051,0.543913794377315,-1.28276348340839,0.865665353003276
"124",-0.217179551324877,-0.210369028543305,0.541920794210024,-1.30186365359443,0.851054729118124
"238",-0.217146948326191,-0.212137556874615,0.52462627425142,-1.26536272316901,0.802025818479074
"479",-0.216512499032602,-0.207429282451847,0.616876213092473,-1.47323774252525,0.969864466123602
"219",-0.214074043485327,-0.208393563490699,0.542217092560406,-1.30530365330399,0.84312412969781
"345",-0.212049344040821,-0.203687199210565,0.616428434843558,-1.46634318451101,0.976019397347627
"178",-0.210613280100385,-0.203075230038955,0.603768948717471,-1.41145752460899,0.981882848640029
"122",-0.185558743416972,-0.170230467740144,0.469552010720853,-1.12927019767499,0.72550197081775
"314",-0.177299253073663,-0.173580538152163,0.548646550683123,-1.27976951673558,0.892332682752973
"464",-0.177113352679541,-0.177804169738032,0.741521607270064,-1.63419304529749,1.30176637409663
"410",-0.170046101734942,-0.186045743569862,1.32236359142135,-2.76621204923485,2.48634916606315
"443",-0.152326632316927,-0.152129534678339,0.515511148631581,-1.18848304366807,0.864101001897443
"109",-0.151847983384351,-0.161663578711885,1.48310692855159,-3.08732412342013,2.80851856128844
"544",-0.151493618886791,-0.148604713433226,0.521318194931715,-1.18095681218383,0.884209142224627
"242",-0.151401823407116,-0.144322395628571,0.824942498357726,-1.79734217364131,1.46381073664392
"208",-0.143565189109747,-0.140339493072974,0.737811500432687,-1.58606792923316,1.32759590856242
"305",-0.13461168035659,-0.119210843809488,1.03393993815842,-2.20703426542443,1.90666487746388
"241",-0.126764016720414,-0.121877902189347,0.905334934047745,-1.92782842552422,1.66640418478999
"510",-0.12349977324563,-0.121867299375202,0.537476514853983,-1.18190170682404,0.94660347065554
"53",-0.122842815330199,-0.134434069242714,1.05459617035816,-2.22859353210705,1.94841509967953
"240",-0.122788918907436,-0.123425925041492,0.90108232780103,-1.92956887488877,1.64722434406617
"157",-0.121646750339873,-0.132442704540805,1.05437988019217,-2.15571507738015,2.01350454082051
"268",-0.121523933568921,-0.132950787806229,1.05503548361516,-2.18841417021295,1.97729289591306
